order_book_id,datetime,last_quantity,side,last_price,transaction_cost
600521.XSHG,2020-08-18,22800.0,BUY,38.07,0
600528.XSHG,2020-08-18,12700.0,SELL,9.89,0
600529.XSHG,2020-08-18,18700.0,BUY,56.39,0
600535.XSHG,2020-08-18,25900.0,BUY,17.88,0
600545.XSHG,2020-08-18,4200.0,SELL,5.23,0
600549.XSHG,2020-08-18,8700.0,SELL,15.27,0
600557.XSHG,2020-08-18,12000.0,BUY,13.83,0
600563.XSHG,2020-08-18,4100.0,SELL,67.1,0
600565.XSHG,2020-08-18,15900.0,SELL,3.09,0
600566.XSHG,2020-08-18,1100.0,SELL,25.08,0
600567.XSHG,2020-08-18,31300.0,SELL,3.2,0
600572.XSHG,2020-08-18,26800.0,SELL,5.81,0
600575.XSHG,2020-08-18,10600.0,SELL,2.25,0
600580.XSHG,2020-08-18,9700.0,SELL,13.91,0
600582.XSHG,2020-08-18,11900.0,SELL,3.2,0
600597.XSHG,2020-08-18,3000.0,SELL,19.55,0
600598.XSHG,2020-08-18,20800.0,BUY,20.86,0
600623.XSHG,2020-08-18,100.0,BUY,5.88,0
600633.XSHG,2020-08-18,5800.0,SELL,11.59,0
600639.XSHG,2020-08-18,2900.0,SELL,15.16,0
600640.XSHG,2020-08-18,2300.0,BUY,19.61,0
600642.XSHG,2020-08-18,24200.0,SELL,5.84,0
600643.XSHG,2020-08-18,10800.0,SELL,9.16,0
600645.XSHG,2020-08-18,1300.0,SELL,32.99,0
600648.XSHG,2020-08-18,11100.0,BUY,16.32,0
600649.XSHG,2020-08-18,12500.0,SELL,5.95,0
600657.XSHG,2020-08-18,7100.0,SELL,4.91,0
600664.XSHG,2020-08-18,18500.0,SELL,3.74,0
600667.XSHG,2020-08-18,39000.0,BUY,11.77,0
600673.XSHG,2020-08-18,59100.0,BUY,6.83,0
600675.XSHG,2020-08-18,15100.0,SELL,4.25,0
600694.XSHG,2020-08-18,2500.0,SELL,26.43,0
600699.XSHG,2020-08-18,9000.0,SELL,24.79,0
600704.XSHG,2020-08-18,27600.0,SELL,4.72,0
600707.XSHG,2020-08-18,5300.0,SELL,5.01,0
600717.XSHG,2020-08-18,200.0,SELL,4.84,0
600718.XSHG,2020-08-18,28200.0,BUY,11.88,0
600728.XSHG,2020-08-18,17700.0,SELL,10.32,0
600729.XSHG,2020-08-18,4000.0,BUY,32.28,0
600733.XSHG,2020-08-18,19300.0,SELL,7.29,0
600737.XSHG,2020-08-18,15800.0,SELL,9.88,0
600739.XSHG,2020-08-18,13900.0,SELL,27.71,0
600748.XSHG,2020-08-18,9300.0,SELL,5.64,0
600751.XSHG,2020-08-18,22800.0,SELL,3.42,0
600754.XSHG,2020-08-18,800.0,SELL,44.59,0
600755.XSHG,2020-08-18,7900.0,SELL,7.41,0
600757.XSHG,2020-08-18,600.0,SELL,5.64,0
600765.XSHG,2020-08-18,6200.0,SELL,15.27,0
600770.XSHG,2020-08-18,8000.0,SELL,7.02,0
600776.XSHG,2020-08-18,2800.0,SELL,15.67,0
600777.XSHG,2020-08-18,29400.0,SELL,1.9,0
600779.XSHG,2020-08-18,3500.0,BUY,68.73,0
600782.XSHG,2020-08-18,19500.0,SELL,4.49,0
600787.XSHG,2020-08-18,7000.0,SELL,5.29,0
600801.XSHG,2020-08-18,20400.0,BUY,27.77,0
600804.XSHG,2020-08-18,43800.0,BUY,9.57,0
600808.XSHG,2020-08-18,36600.0,SELL,3.09,0
600811.XSHG,2020-08-18,23100.0,SELL,5.26,0
600820.XSHG,2020-08-18,23000.0,SELL,6.29,0
600823.XSHG,2020-08-18,8700.0,SELL,4.54,0
600827.XSHG,2020-08-18,4500.0,SELL,19.55,0
600835.XSHG,2020-08-18,2600.0,BUY,17.6,0
600839.XSHG,2020-08-18,49300.0,SELL,3.46,0
600845.XSHG,2020-08-18,3500.0,BUY,68.24,0
600859.XSHG,2020-08-18,8600.0,BUY,60.8,0
600862.XSHG,2020-08-18,6200.0,SELL,28.52,0
600863.XSHG,2020-08-18,14700.0,SELL,2.69,0
600869.XSHG,2020-08-18,4100.0,SELL,4.11,0
600874.XSHG,2020-08-18,14000.0,BUY,7.48,0
600875.XSHG,2020-08-18,9100.0,SELL,10.43,0
600879.XSHG,2020-08-18,28800.0,SELL,8.24,0
600881.XSHG,2020-08-18,35100.0,SELL,3.62,0
600884.XSHG,2020-08-18,6000.0,BUY,13.4,0
600885.XSHG,2020-08-18,3100.0,SELL,47.46,0
600895.XSHG,2020-08-18,9400.0,SELL,22.71,0
600901.XSHG,2020-08-18,7900.0,SELL,6.15,0
